"samp_num","pot_id","maize_line","soil","trt","precrop","dw_precrop"
1,"c.b.W22.Med.1","W22","changins","b","Med",1.311
2,"c.b.W22.Med.2","W22","changins","b","Med",2.197
3,"c.b.W22.Med.3","W22","changins","b","Med",1.843
4,"c.b.W22.Med.4","W22","changins","b","Med",2.66
5,"c.b.W22.Med.5","W22","changins","b","Med",3.058
6,"c.b.W22.Med.6","W22","changins","b","Med",2.909
7,"c.b.W22.Med.7","W22","changins","b","Med",2.542
8,"c.b.W22.Med.8","W22","changins","b","Med",2.477
9,"c.b.W22.Med.9","W22","changins","b","Med",2.389
10,"c.b.W22.Med.10","W22","changins","b","Med",2.164
11,"c.b.W22.Med.11","W22","changins","b","Med",2.155
12,"c.b.W22.Med.12","W22","changins","b","Med",2.878
13,"c.w.W22.Med.1","W22","changins","w","Med",2.63
14,"c.w.W22.Med.2","W22","changins","w","Med",1.355
15,"c.w.W22.Med.3","W22","changins","w","Med",1.493
16,"c.w.W22.Med.4","W22","changins","w","Med",1.471
17,"c.w.W22.Med.5","W22","changins","w","Med",0.853
18,"c.w.W22.Med.6","W22","changins","w","Med",2.748
19,"c.w.W22.Med.7","W22","changins","w","Med",2.187
20,"c.w.W22.Med.8","W22","changins","w","Med",2.47
21,"c.w.W22.Med.9","W22","changins","w","Med",1.313
22,"c.w.W22.Med.10","W22","changins","w","Med",2.611
23,"c.w.W22.Med.11","W22","changins","w","Med",2.559
24,"c.w.W22.Med.12","W22","changins","w","Med",2.127
25,"c.b.W22.Tri.1","W22","changins","b","Tri",4.209
26,"c.b.W22.Tri.2","W22","changins","b","Tri",4.207
27,"c.b.W22.Tri.3","W22","changins","b","Tri",3.271
28,"c.b.W22.Tri.4","W22","changins","b","Tri",4.541
29,"c.b.W22.Tri.5","W22","changins","b","Tri",3.706
30,"c.b.W22.Tri.6","W22","changins","b","Tri",3.724
31,"c.b.W22.Tri.7","W22","changins","b","Tri",3.387
32,"c.b.W22.Tri.8","W22","changins","b","Tri",3.781
33,"c.b.W22.Tri.9","W22","changins","b","Tri",3.47
34,"c.b.W22.Tri.10","W22","changins","b","Tri",4.171
35,"c.b.W22.Tri.11","W22","changins","b","Tri",3.908
36,"c.b.W22.Tri.12","W22","changins","b","Tri",3.519
37,"c.w.W22.Tri.1","W22","changins","w","Tri",3.091
38,"c.w.W22.Tri.2","W22","changins","w","Tri",3.903
39,"c.w.W22.Tri.3","W22","changins","w","Tri",4.226
40,"c.w.W22.Tri.4","W22","changins","w","Tri",3.54
41,"c.w.W22.Tri.5","W22","changins","w","Tri",3.765
42,"c.w.W22.Tri.6","W22","changins","w","Tri",4.245
43,"c.w.W22.Tri.7","W22","changins","w","Tri",3.224
44,"c.w.W22.Tri.8","W22","changins","w","Tri",3.907
45,"c.w.W22.Tri.9","W22","changins","w","Tri",3.333
46,"c.w.W22.Tri.10","W22","changins","w","Tri",3.088
47,"c.w.W22.Tri.11","W22","changins","w","Tri",4.007
48,"c.w.W22.Tri.12","W22","changins","w","Tri",4.419
49,"c.b.B73.Med.1","B73","changins","b","Med",1.502
50,"c.b.B73.Med.2","B73","changins","b","Med",2.039
51,"c.b.B73.Med.3","B73","changins","b","Med",1.709
52,"c.b.B73.Med.4","B73","changins","b","Med",2.159
53,"c.b.B73.Med.5","B73","changins","b","Med",2.851
54,"c.b.B73.Med.6","B73","changins","b","Med",2.565
55,"c.b.B73.Med.7","B73","changins","b","Med",3.285
56,"c.b.B73.Med.8","B73","changins","b","Med",2.965
57,"c.b.B73.Med.9","B73","changins","b","Med",2.843
58,"c.b.B73.Med.10","B73","changins","b","Med",1.936
59,"c.b.B73.Med.11","B73","changins","b","Med",1.366
60,"c.b.B73.Med.12","B73","changins","b","Med",2.685
61,"c.w.B73.Med.1","B73","changins","w","Med",2.422
62,"c.w.B73.Med.2","B73","changins","w","Med",1.718
63,"c.w.B73.Med.3","B73","changins","w","Med",1.874
64,"c.w.B73.Med.4","B73","changins","w","Med",2.068
65,"c.w.B73.Med.5","B73","changins","w","Med",2.261
66,"c.w.B73.Med.6","B73","changins","w","Med",2.715
67,"c.w.B73.Med.7","B73","changins","w","Med",1.724
68,"c.w.B73.Med.8","B73","changins","w","Med",1.851
69,"c.w.B73.Med.9","B73","changins","w","Med",2.002
70,"c.w.B73.Med.10","B73","changins","w","Med",2.531
71,"c.w.B73.Med.11","B73","changins","w","Med",2.897
72,"c.w.B73.Med.12","B73","changins","w","Med",2.401
73,"c.b.B73.Tri.1","B73","changins","b","Tri",3.541
74,"c.b.B73.Tri.2","B73","changins","b","Tri",4.456
75,"c.b.B73.Tri.3","B73","changins","b","Tri",4.409
76,"c.b.B73.Tri.4","B73","changins","b","Tri",3.979
77,"c.b.B73.Tri.5","B73","changins","b","Tri",3.998
78,"c.b.B73.Tri.6","B73","changins","b","Tri",3.671
79,"c.b.B73.Tri.7","B73","changins","b","Tri",3.525
80,"c.b.B73.Tri.8","B73","changins","b","Tri",4.833
81,"c.b.B73.Tri.9","B73","changins","b","Tri",4.112
82,"c.b.B73.Tri.10","B73","changins","b","Tri",3.928
83,"c.b.B73.Tri.11","B73","changins","b","Tri",3.849
84,"c.b.B73.Tri.12","B73","changins","b","Tri",3.765
85,"c.w.B73.Tri.1","B73","changins","w","Tri",4.526
86,"c.w.B73.Tri.2","B73","changins","w","Tri",3.446
87,"c.w.B73.Tri.3","B73","changins","w","Tri",4.291
88,"c.w.B73.Tri.4","B73","changins","w","Tri",3.434
89,"c.w.B73.Tri.5","B73","changins","w","Tri",2.873
90,"c.w.B73.Tri.6","B73","changins","w","Tri",3.871
91,"c.w.B73.Tri.7","B73","changins","w","Tri",3.431
92,"c.w.B73.Tri.8","B73","changins","w","Tri",3.695
93,"c.w.B73.Tri.9","B73","changins","w","Tri",4.199
94,"c.w.B73.Tri.10","B73","changins","w","Tri",4.248
95,"c.w.B73.Tri.11","B73","changins","w","Tri",3.655
96,"c.w.B73.Tri.12","B73","changins","w","Tri",3.89
97,"q.b.W22.Med.1","W22","q_matte","b","Med",3.181
98,"q.b.W22.Med.2","W22","q_matte","b","Med",3.044
99,"q.b.W22.Med.3","W22","q_matte","b","Med",2.954
100,"q.b.W22.Med.4","W22","q_matte","b","Med",3.753
101,"q.b.W22.Med.5","W22","q_matte","b","Med",4.101
102,"q.b.W22.Med.6","W22","q_matte","b","Med",4.146
103,"q.b.W22.Med.7","W22","q_matte","b","Med",3.188
104,"q.b.W22.Med.8","W22","q_matte","b","Med",3.536
105,"q.b.W22.Med.9","W22","q_matte","b","Med",3.595
106,"q.b.W22.Med.10","W22","q_matte","b","Med",2.803
107,"q.b.W22.Med.11","W22","q_matte","b","Med",4.281
108,"q.b.W22.Med.12","W22","q_matte","b","Med",3.771
109,"q.w.W22.Med.1","W22","q_matte","w","Med",2.812
110,"q.w.W22.Med.2","W22","q_matte","w","Med",3.89
111,"q.w.W22.Med.3","W22","q_matte","w","Med",2.744
112,"q.w.W22.Med.4","W22","q_matte","w","Med",3.348
113,"q.w.W22.Med.5","W22","q_matte","w","Med",4.031
114,"q.w.W22.Med.6","W22","q_matte","w","Med",2.911
115,"q.w.W22.Med.7","W22","q_matte","w","Med",2.897
116,"q.w.W22.Med.8","W22","q_matte","w","Med",3.059
117,"q.w.W22.Med.9","W22","q_matte","w","Med",2.773
118,"q.w.W22.Med.10","W22","q_matte","w","Med",3.241
119,"q.w.W22.Med.11","W22","q_matte","w","Med",3.089
120,"q.w.W22.Med.12","W22","q_matte","w","Med",2.615
121,"q.b.W22.Tri.1","W22","q_matte","b","Tri",5.086
122,"q.b.W22.Tri.2","W22","q_matte","b","Tri",4.815
123,"q.b.W22.Tri.3","W22","q_matte","b","Tri",4.032
124,"q.b.W22.Tri.4","W22","q_matte","b","Tri",5.283
125,"q.b.W22.Tri.5","W22","q_matte","b","Tri",5.012
126,"q.b.W22.Tri.6","W22","q_matte","b","Tri",4.829
127,"q.b.W22.Tri.7","W22","q_matte","b","Tri",5.623
128,"q.b.W22.Tri.8","W22","q_matte","b","Tri",5.558
129,"q.b.W22.Tri.9","W22","q_matte","b","Tri",3.092
130,"q.b.W22.Tri.10","W22","q_matte","b","Tri",4.989
131,"q.b.W22.Tri.11","W22","q_matte","b","Tri",4.709
132,"q.b.W22.Tri.12","W22","q_matte","b","Tri",4.361
133,"q.w.W22.Tri.1","W22","q_matte","w","Tri",4.501
134,"q.w.W22.Tri.2","W22","q_matte","w","Tri",5.001
135,"q.w.W22.Tri.3","W22","q_matte","w","Tri",4.965
136,"q.w.W22.Tri.4","W22","q_matte","w","Tri",4.814
137,"q.w.W22.Tri.5","W22","q_matte","w","Tri",4.132
138,"q.w.W22.Tri.6","W22","q_matte","w","Tri",5.446
139,"q.w.W22.Tri.7","W22","q_matte","w","Tri",5.572
140,"q.w.W22.Tri.8","W22","q_matte","w","Tri",4.822
141,"q.w.W22.Tri.9","W22","q_matte","w","Tri",4.85
142,"q.w.W22.Tri.10","W22","q_matte","w","Tri",4.867
143,"q.w.W22.Tri.11","W22","q_matte","w","Tri",4.621
144,"q.w.W22.Tri.12","W22","q_matte","w","Tri",5.156
